track,key_shift_semitones,csv_camelot,csv_standard_raw,csv_standard_shifted
#1 - Poa Alpina,0,6A,G minor,G minor
#2 - Water Slide,0,,N/A,N/A
#3 - Selene,0,6A,G minor,G minor
#4 - Tundra,0,6A,G minor,G minor
#5 - Headspace,0,8A,A minor,A minor
#6 - TERRITORY,0,7A,D minor,D minor
#7 - Icicle,0,8A,A minor,A minor
#8 - Sunlight (Jody Wisternoff Remix),0,8A,A minor,A minor
#9 - Muse,0,8A,A minor,A minor
#10 - Wavy Jane,0,8A,A minor,A minor
#11 - Needs to Feel (Wippenberg Remix),0,8A,A minor,A minor
#12 - I Wonder,0,8A,A minor,A minor
#13 - Bloodstream (Cubicore Remix),0,8A,A minor,A minor
#14 - Ice Beach,0,8A,A minor,A minor
#15 - Connected (Vocal Mix),0,8A,A minor,A minor
#16 - Time Goes By (Super8 Deep Mix),0,7A,D minor,D minor
#17 - Metanoia,0,6A,G minor,G minor
#18 - Frozen,0,6A,G minor,G minor
#19 - These Shoulders (Oliver Smith Remix),0,6A,G minor,G minor
#20 - The Whiteroom,0,5A,C minor,C minor
#21 - Far From In Love,0,4A,F minor,F minor
#22 - Zocalo,0,3A,A# minor,A# minor
#23 - Perception (Vocal Mix),0,8A,A minor,A minor
