track,key_shift_semitones,csv_camelot,csv_standard_raw,csv_standard_shifted
#1 - Filmic,-1,5A,C minor,10A
#2 - Tears from the Moon (aname Mix),0,9A,E minor,9A
#3 - Break the Silence,0,6A,G minor,6A
#4 - Love You Got,0,4A,F minor,4A
#5 - Parasite,0,5A,C minor,5A
#6 - Lately (Adam Ten & Mita Gami Remix),-1,12A,C# minor,5A
#7 - Come Alive,-1,1A,G# minor,6A
#8 - Subterranean,0,1A,G# minor,1A
#9 - Thalassophobia (Dark Mix),0,12A,C# minor,12A
#10 - Illusion,0,9A,E minor,9A
#11 - Brainwasher,0,8A,A minor,8A
#12 - Warrior,0,8A,A minor,8A
#13 - Walk the Plank,0,8A,A minor,8A
#14 - Power Drive,0,8A,A minor,8A
#15 - Water,0,9A,E minor,9A
#16 - Hold That Sucker Down (HEL:SLOWED Remix),0,10A,B minor,10A
#17 - Flame,0,8A,A minor,8A
#18 - Ashes,0,8A,A minor,8A
#19 - At Night,0,9A,E minor,9A
#20 - Yes Man,0,9A,E minor,9A
#21 - FILTHY ACID,0,8A,A minor,8A
#22 - Access (John Askew Remix),0,8A,A minor,8A
#23 - Out of the Sky (Chris Schweizer Remix),-1,5A,C minor,10A
#24 - Apex (John Askew Remix),0,10A,B minor,10A
#25 - Opulence,0,11A,F# minor,11A
