track,key_shift_semitones,detected_raw,detected_strength,detected_shifted
#1 - Poa Alpina,0,G minor,0.848,G minor
#2 - Water Slide,0,G major,0.736,G major
#3 - Selene,0,G minor,0.714,G minor
#4 - Tundra,0,C minor,0.756,C minor
#5 - Headspace,0,A major,0.706,A major
#6 - TERRITORY,0,D minor,0.693,D minor
#7 - Icicle,0,F major,0.838,F major
#8 - Sunlight (Jody Wisternoff Remix),0,F major,0.670,F major
#9 - Muse,0,D minor,0.702,D minor
#10 - Wavy Jane,0,A minor,0.708,A minor
#11 - Needs to Feel (Wippenberg Remix),0,D minor,0.596,D minor
#12 - I Wonder,0,C# minor,0.676,C# minor
#13 - Bloodstream (Cubicore Remix),0,D minor,0.696,D minor
#14 - Ice Beach,0,C major,0.549,C major
#15 - Connected (Vocal Mix),0,C# minor,0.581,C# minor
#16 - Time Goes By (Super8 Deep Mix),0,D minor,0.624,D minor
#17 - Metanoia,0,G minor,0.770,G minor
#18 - Frozen,0,G minor,0.646,G minor
#19 - These Shoulders (Oliver Smith Remix),0,G minor,0.640,G minor
#20 - The Whiteroom,0,C minor,0.702,C minor
#21 - Far From In Love,0,F minor,0.671,F minor
#22 - Zocalo,0,F# major,0.587,F# major
#23 - Perception (Vocal Mix),0,A minor,0.759,A minor
