track_number,title,artists,genre,filename,mp3_name,filepath,audio_path,energy,labeled_bpm,labeled_bpm_missing,tempo_embedding_bpm,tempo_embedding_confidence,key,bpm,onset-time,key shift,tempo_embedding_confidence_active_agreement,tempo_embedding_mean_active_probability,tempo_embedding_active_fraction,tempo_embedding_active_windows,tempo_embedding_total_windows,source_duration_sec,peak30_start_sec,peak30_end_sec,peak30_window_rms_db,full_analysis_duration_sec,full_spectral_centroid_hz,full_spectral_spread_hz,full_spectral_tilt_db_per_oct,full_spectral_rolloff_05_hz,full_spectral_rolloff_85_hz,full_dynamic_range_db,full_rms_mean_db,full_rms_median_db,full_rms_std_db,full_rms_iqr_db,full_rms_range_db,full_rms_var,full_top_quartile_rms,full_top_quartile_rms_db,full_crest_factor_db,full_onset_density,full_onset_magnitude,full_integrated_loudness_lufs,full_short_term_loudness_mean_lufs,full_short_term_loudness_std_lu,full_short_term_loudness_range_lu,full_sub_band_energy_ratio,full_band_flux_sub,full_bass_band_energy_ratio,full_band_flux_bass,full_low_mid_band_energy_ratio,full_band_flux_low_mid,full_mid_band_energy_ratio,full_band_flux_mid,full_high_band_energy_ratio,full_band_flux_high,full_low_band_energy_ratio,full_beat_count,full_beat_rms_mean_db,full_beat_rms_std_db,full_downbeat_offbeat_energy_ratio,full_downbeat_phase_index,full_four_bar_phrase_energy_variance,peak30_analysis_duration_sec,peak30_spectral_centroid_hz,peak30_spectral_spread_hz,peak30_spectral_tilt_db_per_oct,peak30_spectral_rolloff_05_hz,peak30_spectral_rolloff_85_hz,peak30_dynamic_range_db,peak30_rms_mean_db,peak30_rms_median_db,peak30_rms_std_db,peak30_rms_iqr_db,peak30_rms_range_db,peak30_rms_var,peak30_top_quartile_rms,peak30_top_quartile_rms_db,peak30_crest_factor_db,peak30_onset_density,peak30_onset_magnitude,peak30_integrated_loudness_lufs,peak30_short_term_loudness_mean_lufs,peak30_short_term_loudness_std_lu,peak30_short_term_loudness_range_lu,peak30_sub_band_energy_ratio,peak30_band_flux_sub,peak30_bass_band_energy_ratio,peak30_band_flux_bass,peak30_low_mid_band_energy_ratio,peak30_band_flux_low_mid,peak30_mid_band_energy_ratio,peak30_band_flux_mid,peak30_high_band_energy_ratio,peak30_band_flux_high,peak30_low_band_energy_ratio,peak30_beat_count,peak30_beat_rms_mean_db,peak30_beat_rms_std_db,peak30_downbeat_offbeat_energy_ratio,peak30_downbeat_phase_index,peak30_four_bar_phrase_energy_variance
1,Used To Love,Martin Garrix/Dean Lewis,,Martin Garrix; Dean Lewis - Used To Love.mp3,Martin Garrix; Dean Lewis - Used To Love.mp3,Martin Garrix; Dean Lewis - Used To Love.mp3,music/warren/Martin Garrix; Dean Lewis - Used To Love.mp3,,,True,119,0.88563263,,119,,,1,0.61877555,0.78947371,30,38,236.82032,42,72,-9.2656711,236.82032,2475.5184,2618.7749,-5.743333,108.49937,5449.3845,10.179475,-12.348241,-10.968935,5.9198804,4.3228407,121.05567,35.044984,0.39148777,-8.1456361,11.78986,3.8003496,3.7433698,-11.384759,-11.966155,2.365382,13.558572,0.13558325,6.6502432,0.15938045,10.095131,0.20527022,10.964088,0.4257272,10.971657,0.063212968,5.7818715,0.29496371,467,-11.667183,5.9623655,1.078962,1,0.0054958481,30,2485.5898,2610.1596,-5.5293863,71.457901,5518.6333,4.8533463,-9.5673877,-9.2066154,1.7155152,1.8542919,9.1549416,2.9429923,0.4093641,-7.7578049,10.185376,3.9333333,3.1088253,-9.841796,-9.9409167,0.90198875,3.5193181,0.14223025,5.664274,0.14385818,12.084542,0.11303691,6.17079,0.51504557,13.200827,0.075148104,7.1892403,0.28608843,60,-8.516419,1.8520475,1.1168669,2,0.0020621882
2,Ocean (Don Diablo Remix),Martin Garrix/Don Diablo/Khalid,,Martin Garrix; Don Diablo; Khalid - Ocean (Don Diablo Remix).mp3,Martin Garrix; Don Diablo; Khalid - Ocean (Don Diablo Remix).mp3,Martin Garrix; Don Diablo; Khalid - Ocean (Don Diablo Remix).mp3,music/warren/Martin Garrix; Don Diablo; Khalid - Ocean (Don Diablo Remix).mp3,,,True,123,0.94891495,,123,,,1,0.8297165,0.78125,25,32,202.92683,144,174,-7.2652863,202.92685,2223.2378,2471.8609,-6.4581834,108.93546,4917.4888,14.220106,-12.87805,-9.9135647,11.436379,4.6438465,79.397659,130.79076,0.49908053,-6.0365875,9.8554862,3.1932689,6.5594275,-10.260123,-12.457228,7.991946,54.188293,0.19712015,13.139609,0.33602359,22.018894,0.14923517,8.9250403,0.269808,12.587919,0.043157035,7.8789205,0.53314374,415,-12.74206,10.830643,1.0506004,3,0.0051926194,30,2277.6457,2519.4637,-6.1851589,70.237075,5085.1526,8.3713827,-8.2935946,-8.0576468,3.6759268,2.8632202,40.969734,13.512438,0.5952666,-4.5057697,7.7193771,6.2666667,7.2213313,-9.0384817,-9.0053479,0.51660918,2.4477869,0.26783756,23.707736,0.4139485,42.569266,0.10029402,11.500117,0.16818079,17.410925,0.045188389,13.236685,0.68178606,62,-8.9251514,2.3731606,1.0650135,2,5.8922347e-05
3,Empty,Martin Garrix/DubVision/Jaimes,,Martin Garrix; DubVision; Jaimes - Empty.mp3,Martin Garrix; DubVision; Jaimes - Empty.mp3,Martin Garrix; DubVision; Jaimes - Empty.mp3,music/warren/Martin Garrix; DubVision; Jaimes - Empty.mp3,,,True,127,0.89916354,,127,,,0.99494392,0.67567599,0.78125,25,32,198.42519,160,190,-7.4825482,198.42522,3040.8013,2939.1937,-4.9769102,94.988235,6760.4242,8.635272,-12.099457,-10.170242,10.492126,3.9393196,143.21101,110.08471,0.44494266,-7.033919,11.375219,4.0972615,3.040461,-10.478446,-12.082919,6.7216322,56.358913,0.30586061,15.042518,0.24855907,13.842326,0.11161446,10.745894,0.23539766,7.7778267,0.085472242,5.3568814,0.55441967,420,-10.912529,8.8923193,1.0369498,1,0.0098845812,30,3384.5318,3073.179,-4.4928785,78.795357,7440.1258,3.6259112,-7.6915747,-7.5851889,1.4290987,1.6911516,10.090504,2.042323,0.49304382,-6.1422896,9.255051,6.4333333,2.2798472,-8.5749205,-8.5692081,0.19921708,0.79495749,0.38501681,26.716654,0.20056196,27.064743,0.089411567,17.055009,0.20738214,8.3277515,0.10212222,6.6852026,0.58557877,64,-6.3215668,1.5429663,1.0143741,0,0.00027704137
4,Latency,Martin Garrix/Dyro,,Martin Garrix; Dyro - Latency.mp3,Martin Garrix; Dyro - Latency.mp3,Martin Garrix; Dyro - Latency.mp3,music/warren/Martin Garrix; Dyro - Latency.mp3,,,True,128,0.97033894,,128,,,1,0.90112972,0.78787881,26,33,204.42848,62,92,-5.7756772,204.42848,2937.7233,2666.5146,-5.0505828,73.416484,6133.3214,9.0482407,-7.9869541,-6.4974728,4.7807695,2.4179139,119.06548,22.855757,0.56064767,-5.0261996,9.6390982,2.7686944,4.628891,-8.0780329,-8.8559176,3.2008314,22.138768,0.43044775,24.022998,0.15582316,23.025411,0.092394936,15.216618,0.20395717,14.965345,0.10498763,9.2705926,0.5862709,438,-7.6815126,5.0026942,1.0172567,2,0.0079135209,30,3001.2361,2839.1663,-4.6650782,53.837174,6440.9361,3.1997092,-5.9484199,-6.1742616,1.2558306,0.79853821,14.035168,1.5771106,0.60560319,-4.3562369,7.2981313,5.5333333,3.3644914,-7.6476204,-7.6508805,0.34582701,1.2945024,0.51219767,35.640472,0.18286267,34.561893,0.070773449,21.107269,0.15118765,16.30976,0.074078592,12.673591,0.69506034,65,-6.4186407,1.0998528,1.0334182,2,0.0003297856
5,Love Runs Out,Martin Garrix/G-Eazy/Sasha Alex Sloan,,Martin Garrix; G-Eazy; Sasha Alex Sloan - Love Runs Out.mp3,Martin Garrix; G-Eazy; Sasha Alex Sloan - Love Runs Out.mp3,Martin Garrix; G-Eazy; Sasha Alex Sloan - Love Runs Out.mp3,music/warren/Martin Garrix; G-Eazy; Sasha Alex Sloan - Love Runs Out.mp3,,,True,90,0.91617268,,90,,,0.98743969,0.74988306,0.76923078,20,26,164.16667,66,96,-9.3946305,164.16667,2506.7746,2845.8419,-5.892292,111.07369,5831.0245,14.173943,-14.327826,-13.049254,9.7298881,6.7736187,94.666298,94.670723,0.41457372,-7.6479646,12.077783,3.5208122,4.2040829,-12.95683,-13.797888,2.7481825,14.202396,0.38082467,13.796337,0.17653329,11.909873,0.11140279,9.9939115,0.29941933,10.728405,0.026089257,4.3902689,0.55735796,245,-12.206475,7.2038247,1.2683852,2,0.010253175,30,2537.9478,2884.9243,-5.5090521,67.974589,6005.622,9.3375149,-10.411695,-10.053255,3.1635862,3.7102299,20.324284,10.008278,0.46664049,-6.6203516,10.210757,5.2333333,3.9461037,-11.396527,-11.492442,1.0984495,4.6433228,0.39155885,23.987919,0.23147735,19.154989,0.10189321,14.495035,0.24240295,11.167437,0.027249946,6.207376,0.6230362,46,-8.4212931,2.8481167,1.1932894,1,0.00016530871
6,Wizard (Original Mix),Martin Garrix/Jay Hardway,,Martin Garrix; Jay Hardway - Wizard (Original Mix).mp3,Martin Garrix; Jay Hardway - Wizard (Original Mix).mp3,Martin Garrix; Jay Hardway - Wizard (Original Mix).mp3,music/warren/Martin Garrix; Jay Hardway - Wizard (Original Mix).mp3,,,True,128,0.94193095,,128,,,1,0.80643642,0.80000001,36,45,281.39458,188,218,-6.3675128,281.3946,3086.4906,2741.2969,-5.2452512,217.22967,6365.991,15.209003,-12.558346,-12.987491,7.409719,8.9361687,235.44183,54.903936,0.51911925,-5.6946573,10.514161,2.1535594,5.791315,-11.668334,-12.779325,3.2209632,16.175578,0.622739,13.932957,0.1282231,16.092343,0.038390778,7.7075246,0.15659536,8.4610572,0.046571349,4.5396043,0.7509621,603,-11.755736,6.1132275,1.0053642,2,0.020654499,30,2327.0735,2669.1374,-5.8094955,71.949565,5350.376,7.3087749,-6.8986905,-6.0701528,2.5694454,1.196444,12.627812,6.6020499,0.55262339,-5.1514147,6.702616,5.1666667,4.7094977,-9.19968,-9.2373829,0.77541393,2.977756,0.67267614,24.605136,0.12168404,30.051951,0.025186803,10.86537,0.15645951,15.286037,0.020949248,6.0360883,0.79436018,65,-6.8037007,2.8266156,1.0437263,1,0.005816637
7,These Are The Times,Martin Garrix/JRM,,Martin Garrix; JRM - These Are The Times.mp3,Martin Garrix; JRM - These Are The Times.mp3,Martin Garrix; JRM - These Are The Times.mp3,music/warren/Martin Garrix; JRM - These Are The Times.mp3,,,True,127,0.9310776,,127,,,1,0.77025861,0.80000001,24,30,188.80145,152,182,-8.1371946,188.80145,2422.893,2618.1979,-5.6907319,134.62224,5493.3976,12.653286,-14.275748,-13.036049,9.7347174,7.845789,117.62187,94.764723,0.41763565,-7.5840487,12.000935,2.9184098,6.2648262,-12.402897,-13.784995,4.4780052,37.398621,0.28814069,9.1695468,0.16736049,11.31752,0.19655995,11.638663,0.30184897,8.4150932,0.037459136,4.6671639,0.45550119,402,-12.873164,9.6576069,1.0170428,1,0.012482283,30,2558.8531,2877.0596,-5.1516856,61.845459,6079.3257,3.5524406,-8.4108229,-7.9021401,1.7770325,1.138854,12.266361,3.1578445,0.44332249,-7.0656048,8.6417034,4.1666667,4.4573261,-10.194914,-10.144731,0.22929871,0.96909132,0.4158123,25.337875,0.23230523,28.499404,0.16058698,19.931399,0.15481604,7.7583776,0.029580817,6.3900455,0.64811754,64,-7.1909133,1.411236,1.0281887,2,0.00021323081
8,These Are The Times (Dyro Remix),Martin Garrix/JRM/Dyro,,Martin Garrix; JRM; Dyro - These Are The Times (Dyro Remix).mp3,Martin Garrix; JRM; Dyro - These Are The Times (Dyro Remix).mp3,Martin Garrix; JRM; Dyro - These Are The Times (Dyro Remix).mp3,music/warren/Martin Garrix; JRM; Dyro - These Are The Times (Dyro Remix).mp3,,,True,127,0.92987496,,127,,,0.99647152,0.77448291,0.76923078,20,26,162.58612,48,78,-6.5403488,162.58612,3475.1887,2872.9851,-4.1914907,175.63028,6956.2032,12.333977,-10.584337,-8.0091019,11.228257,4.4713144,236.59142,126.07376,0.53989683,-5.3537844,10.246917,2.2511146,6.3844424,-8.0735676,-8.9960789,4.0067121,27.246646,0.29872059,23.828673,0.20029158,23.343336,0.054736528,12.312856,0.25987013,16.795117,0.15168388,14.100116,0.49901217,347,-10.32913,15.446692,1.0194645,1,0.0045258752,30,3536.1652,2963.6884,-3.7755065,97.441077,7171.5358,6.8112612,-7.1225417,-6.4807839,2.5364914,2.1447382,16.391878,6.4337888,0.59110238,-4.5667458,8.8783761,3.0333333,6.5566005,-7.6315379,-7.5962319,0.38838564,1.6827138,0.40356897,44.051423,0.25473115,41.165175,0.046089003,18.121873,0.13503131,17.661922,0.1366489,19.96534,0.65830012,64,-6.5949591,1.1096822,1.0698982,2,0.0002840382
9,Burn Out,Martin Garrix/Justin Mylo/Dewain Whitmore,,Martin Garrix; Justin Mylo; Dewain Whitmore - Burn Out.mp3,Martin Garrix; Justin Mylo; Dewain Whitmore - Burn Out.mp3,Martin Garrix; Justin Mylo; Dewain Whitmore - Burn Out.mp3,music/warren/Martin Garrix; Justin Mylo; Dewain Whitmore - Burn Out.mp3,,,True,128,0.95376176,,128,,,1,0.84587252,0.78125,25,32,200.33204,70,100,-7.819538,200.33206,2928.8209,2881.878,-5.5209509,142.75668,6598.337,14.294148,-14.450031,-12.803334,9.6263068,6.8668289,91.414894,92.665783,0.42618071,-7.4081242,11.401764,3.000019,4.2129057,-12.248468,-13.916811,5.5314032,42.760379,0.32873778,10.130026,0.18104865,9.112867,0.10345209,9.5952844,0.31455373,8.0252742,0.060648405,4.6867051,0.50978643,428,-13.826531,9.8675367,1.0440269,1,0.012846263,30,3020.1143,3119.3072,-4.8906306,64.187112,7264.3227,3.7301617,-8.1888001,-7.5270433,2.5033537,0.78451157,25.879791,6.2667799,0.45067328,-6.9227638,7.9549172,3.8333333,3.9861809,-10.184812,-10.183197,0.26621265,1.0359808,0.48563421,27.003653,0.23937694,22.457116,0.065563663,17.402359,0.16145962,8.936122,0.039207757,4.7459043,0.72501116,65,-7.4884735,1.9798619,1.0131384,1,0.00024198736
10,Bouncybob,Martin Garrix/Justin Mylo/Mesto,,Martin Garrix; Justin Mylo; Mesto - Bouncybob.mp3,Martin Garrix; Justin Mylo; Mesto - Bouncybob.mp3,Martin Garrix; Justin Mylo; Mesto - Bouncybob.mp3,music/warren/Martin Garrix; Justin Mylo; Mesto - Bouncybob.mp3,,,True,128,0.97005337,,128,,,1,0.90017796,0.80000001,32,40,251.25977,203,233,-8.9765908,251.25977,3029.6654,2774.4309,-5.1215762,175.84504,6375.1932,17.077263,-15.47217,-13.259085,10.570243,8.6180086,234.60585,111.73003,0.41501901,-7.6386401,12.256135,3.5063313,7.9101804,-13.147493,-14.031621,3.9120432,40.768903,0.37595283,16.150325,0.30054996,18.019929,0.15432811,17.20341,0.12048023,9.3094756,0.039373083,5.811212,0.67650279,535,-10.930469,7.2101017,1.0681663,0,0.011975714,30,3222.6373,3075.6452,-4.6549843,110.5535,7114.7903,10.726982,-10.468473,-8.664526,5.1219794,3.5730872,46.573612,26.234673,0.45009625,-6.9338921,9.7385704,5.6333333,6.5880562,-11.297018,-11.320787,0.36967351,1.3430893,0.46565965,22.453368,0.35980849,25.448959,0.082726863,19.527833,0.059680033,10.282867,0.026698067,8.0420728,0.82546814,65,-7.6727114,1.4453987,1.0768552,1,0.0001481042
