from_track_number,from_title,from_mp3,to_track_number,to_title,to_mp3,cosine_similarity,cosine_distance,euclidean_distance
1,Poa Alpina,biosphere - poa alpina (allternative version) [audio].mp3,2,Water Slide,water slide.mp3,0.8967409729957581,0.10325902700424194,21.369115829467773
2,Water Slide,water slide.mp3,3,Selene,selene (extended mix).mp3,0.9496042132377625,0.05039578676223755,14.472010612487793
3,Selene,selene (extended mix).mp3,4,Tundra,tundra.mp3,0.9412954449653625,0.05870455503463745,15.443216323852539
4,Tundra,tundra.mp3,5,Headspace,dee montero feat. meliha - headspace.mp3,0.9216548800468445,0.07834511995315552,17.886350631713867
5,Headspace,dee montero feat. meliha - headspace.mp3,6,TERRITORY,territory.mp3,0.9316033720970154,0.06839662790298462,16.581472396850586
6,TERRITORY,territory.mp3,7,Icicle,icicle.mp3,0.9435831308364868,0.056416869163513184,15.125396728515625
7,Icicle,icicle.mp3,8,Sunlight (Jody Wisternoff Remix),sunlight (jody wisternoff remix).mp3,0.9612420797348022,0.038757920265197754,12.568822860717773
8,Sunlight (Jody Wisternoff Remix),sunlight (jody wisternoff remix).mp3,9,Muse,muse (extended mix).mp3,0.9518620371818542,0.04813796281814575,13.712320327758789
9,Muse,muse (extended mix).mp3,10,Wavy Jane,my friend - wavy jane.mp3,0.9311376810073853,0.06886231899261475,16.413564682006836
10,Wavy Jane,my friend - wavy jane.mp3,11,Needs to Feel (Wippenberg Remix),needs to feel (wippenberg remix).mp3,0.9529597759246826,0.04704022407531738,13.482688903808594
11,Needs to Feel (Wippenberg Remix),needs to feel (wippenberg remix).mp3,12,I Wonder,i wonder.mp3,0.953278660774231,0.04672133922576904,13.564900398254395
12,I Wonder,i wonder.mp3,13,Bloodstream (Cubicore Remix),bloodstream (cubicore extended remix).mp3,0.9675744771957397,0.032425522804260254,11.492079734802246
13,Bloodstream (Cubicore Remix),bloodstream (cubicore extended remix).mp3,14,Ice Beach,ice beach (original mix).mp3,0.9278034567832947,0.07219654321670532,17.151952743530273
14,Ice Beach,ice beach (original mix).mp3,15,Connected (Vocal Mix),connected (vocal mix).mp3,0.9573402404785156,0.042659759521484375,13.370016098022461
15,Connected (Vocal Mix),connected (vocal mix).mp3,16,Time Goes By (Super8 Deep Mix),time goes by (super8 deep mix).mp3,0.9636979103088379,0.03630208969116211,12.340912818908691
16,Time Goes By (Super8 Deep Mix),time goes by (super8 deep mix).mp3,17,Metanoia,metanoia (original club mix).mp3,0.9500767588615417,0.04992324113845825,14.192588806152344
17,Metanoia,metanoia (original club mix).mp3,18,Frozen,frozen (extended mix).mp3,0.936226487159729,0.063773512840271,16.032909393310547
18,Frozen,frozen (extended mix).mp3,19,These Shoulders (Oliver Smith Remix),these shoulders (oliver smith remix).mp3,0.9514009952545166,0.0485990047454834,13.883615493774414
19,These Shoulders (Oliver Smith Remix),these shoulders (oliver smith remix).mp3,20,The Whiteroom,the whiteroom (extended mix).mp3,0.9528719186782837,0.04712808132171631,14.05579948425293
20,The Whiteroom,the whiteroom (extended mix).mp3,21,Far From In Love,above & beyond - far from in love (original mix).mp3,0.9656859040260315,0.034314095973968506,12.170548439025879
21,Far From In Love,above & beyond - far from in love (original mix).mp3,22,Zocalo,zocalo.mp3,0.9279893636703491,0.07201063632965088,17.382720947265625
22,Zocalo,zocalo.mp3,23,Perception (Vocal Mix),perception (new vocal mix).mp3,0.9281837940216064,0.07181620597839355,16.945056915283203
