track_number,mp3_name,title,artists,cue_name,cue_role,cue_index,start_seconds,end_seconds,source,rekordbox_type,rekordbox_num,rekordbox_location
1,flame.mp3,Flame,ARTBAT,START,start,,0.024,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
1,flame.mp3,Flame,ARTBAT,START,start,,0.024,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
1,flame.mp3,Flame,ARTBAT,IN 1,in,1,30.26,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
1,flame.mp3,Flame,ARTBAT,IN 2,in,2,60.496,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
1,flame.mp3,Flame,ARTBAT,DROP 1,drop,1,158.764,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
1,flame.mp3,Flame,ARTBAT,DROP 2,drop,2,342.071,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
1,flame.mp3,Flame,ARTBAT,OUT 1,out,1,370.418,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
1,flame.mp3,Flame,ARTBAT,OUT 2,out,2,400.654,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
2,brainwasher.mp3,Brainwasher,Nox Vahn,START,start,,0.115,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
2,brainwasher.mp3,Brainwasher,Nox Vahn,START,start,,2.115,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
2,brainwasher.mp3,Brainwasher,Nox Vahn,IN 1,in,1,34.115,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
2,brainwasher.mp3,Brainwasher,Nox Vahn,IN 2,in,2,66.115,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
2,brainwasher.mp3,Brainwasher,Nox Vahn,DROP 1,drop,1,98.115,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
2,brainwasher.mp3,Brainwasher,Nox Vahn,DROP 2,drop,2,218.116,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
2,brainwasher.mp3,Brainwasher,Nox Vahn,OUT 1,out,1,250.116,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
2,brainwasher.mp3,Brainwasher,Nox Vahn,OUT 2,out,2,314.116,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/brainwasher.mp3
