track_number,title,artists,mp3_name,key,bpm,onset-time,genre,key shift,energy
1,Poa Alpina,Biosphere,Biosphere - Poa Alpina (Allternative Version) [Audio].mp3,6A,0.0,,ambient,,1
2,Water Slide,Foot,Water Slide.mp3,,,,melodic techno,,3
3,Selene,Karmarin,Selene (Extended Mix).mp3,6A,125,,deep house,,3
4,Tundra,Peer Kusiv,Tundra.mp3,6A,122,,melodic techno,,3
5,Headspace,"Dee Montero, Meliha",Dee Montero feat. Meliha - Headspace.mp3,8A,121,,progressive house,,2
6,TERRITORY,THE BLAZE,TERRITORY.mp3,7A,120,,electronic,,2
7,Icicle,"Tim Green, Izhevski",Icicle.mp3,8A,120,,deep house,,2
8,Sunlight (Jody Wisternoff Remix),Lane 8,Sunlight (Jody Wisternoff Remix).mp3,8A,120,,deep house,,3
9,Muse,"Rezident, Kate Morgan",Muse (Extended Mix).mp3,8A,125,,progressive house,,5
10,Wavy Jane,My Friend,My Friend - Wavy Jane.mp3,8A,126,,progressive house,,5
11,Needs to Feel (Wippenberg Remix),Super8 & Tab,Needs To Feel (Wippenberg Remix).mp3,8A,128,,progressive trance,,6
12,I Wonder,ZHU,I Wonder.mp3,8A,124,,electronic,,5
13,Bloodstream (Cubicore Remix),"Ferry Corsten, Ruben De Ronde",Bloodstream (Cubicore Extended Remix).mp3,8A,128,,progressive trance,,6
14,Ice Beach,"Niklas Harding, Arcane",Ice Beach (Original Mix).mp3,8A,132,,progressive trance,,6
15,Connected (Vocal Mix),"Matt Hardwick, Smith & Pledger",Connected (Vocal Mix).mp3,8A,136,,trance,,7
16,Time Goes By (Super8 Deep Mix),"Carrie Skipper, Super8 & Tab",Time Goes By (Super8 Deep Mix).mp3,7A,138,,trance,,7
17,Metanoia,"Omnia, The Blizzard",Metanoia (Original Club Mix).mp3,6A,134,,trance,,7
18,Frozen,Dogzilla,Frozen (Extended Mix).mp3,6A,136,,trance,,6
19,These Shoulders (Oliver Smith Remix),"The Signalrunners, Julie Thompson",These Shoulders (Oliver Smith Remix).mp3,6A,134,,trance,,7
20,The Whiteroom,"Andy Moor, Adam White, Whiteroom",The Whiteroom (Extended Mix).mp3,5A,135,,trance,,8
21,Far From In Love,Above & Beyond,Above & Beyond - Far From In Love (Original Mix).mp3,4A,138,,trance,,8
22,Zocalo,"Armin Van Buuren, Gabriel & Dresden",Zocalo.mp3,3A,135,,trance,0,4
23,Perception (Vocal Mix),Cass & Slide,Perception (New Vocal Mix).mp3,8A,131,,trance,,6
