track_number,mp3_name,title,artists,cue_name,cue_role,cue_index,start_seconds,end_seconds,source,rekordbox_type,rekordbox_num,rekordbox_location
1,filmic.mp3,Filmic,Above & Beyond,START,start,,0.04,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/filmic.mp3
1,filmic.mp3,Filmic,Above & Beyond,INTRO,intro,,0.502,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/filmic.mp3
1,filmic.mp3,Filmic,Above & Beyond,IN 1,in,1,30.04,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/filmic.mp3
1,filmic.mp3,Filmic,Above & Beyond,IN 2,in,2,59.117,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/filmic.mp3
1,filmic.mp3,Filmic,Above & Beyond,OUT 1,out,1,177.733,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/filmic.mp3
1,filmic.mp3,Filmic,Above & Beyond,END,end,,206.81,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/filmic.mp3
2,tearsfromthemoon.mp3,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",START,start,,0.024,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/tearsfromthemoon.mp3
2,tearsfromthemoon.mp3,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",START,start,,0.024,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/tearsfromthemoon.mp3
2,tearsfromthemoon.mp3,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",IN 1,in,1,30.743,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/tearsfromthemoon.mp3
2,tearsfromthemoon.mp3,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",IN 2,in,2,61.463,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/tearsfromthemoon.mp3
2,tearsfromthemoon.mp3,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",IN 3,in,3,122.903,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/tearsfromthemoon.mp3
2,tearsfromthemoon.mp3,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",BREAK,break,,253.463,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/tearsfromthemoon.mp3
2,tearsfromthemoon.mp3,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",DROP,drop,,368.663,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/tearsfromthemoon.mp3
2,tearsfromthemoon.mp3,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",OUT 1,out,1,430.102,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/tearsfromthemoon.mp3
2,tearsfromthemoon.mp3,Tears from the Moon (aname Mix),"Conjure One, Sinead O'Connor",OUT 2,out,2,460.822,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/tearsfromthemoon.mp3
3,breakthesilence.mp3,Break the Silence,"aname, Bri Zoli",START,start,,0.022,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/breakthesilence.mp3
3,breakthesilence.mp3,Break the Silence,"aname, Bri Zoli",START,start,,0.022,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/breakthesilence.mp3
3,breakthesilence.mp3,Break the Silence,"aname, Bri Zoli",IN 1,in,1,30.99,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/breakthesilence.mp3
3,breakthesilence.mp3,Break the Silence,"aname, Bri Zoli",DROP 1,drop,1,123.893,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/breakthesilence.mp3
3,breakthesilence.mp3,Break the Silence,"aname, Bri Zoli",DROP 2,drop,2,251.635,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/breakthesilence.mp3
3,breakthesilence.mp3,Break the Silence,"aname, Bri Zoli",OUT 1,out,1,329.055,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/breakthesilence.mp3
3,breakthesilence.mp3,Break the Silence,"aname, Bri Zoli",OUT 2,out,2,360.022,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/breakthesilence.mp3
4,loveyougot.mp3,Love You Got,Kelly Lee Owens,IN 1,in,1,0.192,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/loveyougot.mp3
4,loveyougot.mp3,Love You Got,Kelly Lee Owens,START,start,,0.192,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/loveyougot.mp3
4,loveyougot.mp3,Love You Got,Kelly Lee Owens,START,start,,0.192,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/loveyougot.mp3
4,loveyougot.mp3,Love You Got,Kelly Lee Owens,IN 2,in,2,31.16,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/loveyougot.mp3
4,loveyougot.mp3,Love You Got,Kelly Lee Owens,CHORUS 1,chorus,1,62.128,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/loveyougot.mp3
4,loveyougot.mp3,Love You Got,Kelly Lee Owens,CHORUS 2,chorus,2,201.483,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/loveyougot.mp3
4,loveyougot.mp3,Love You Got,Kelly Lee Owens,OUT 1,out,1,232.45,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/loveyougot.mp3
4,loveyougot.mp3,Love You Got,Kelly Lee Owens,OUT 2,out,2,247.934,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/loveyougot.mp3
5,parasite.mp3,Parasite,"ANUQRAM, Eleanora",START,start,,0.022,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/parasite.mp3
5,parasite.mp3,Parasite,"ANUQRAM, Eleanora",START,start,,0.022,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/parasite.mp3
5,parasite.mp3,Parasite,"ANUQRAM, Eleanora",IN 1,in,1,30.99,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/parasite.mp3
5,parasite.mp3,Parasite,"ANUQRAM, Eleanora",BREAK 1,break,1,61.958,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/parasite.mp3
5,parasite.mp3,Parasite,"ANUQRAM, Eleanora",DROP 1,drop,1,92.925,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/parasite.mp3
5,parasite.mp3,Parasite,"ANUQRAM, Eleanora",DROP 2,drop,2,247.764,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/parasite.mp3
5,parasite.mp3,Parasite,"ANUQRAM, Eleanora",OUT 3,out,3,294.216,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/parasite.mp3
5,parasite.mp3,Parasite,"ANUQRAM, Eleanora",OUT 1,out,1,309.7,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/parasite.mp3
5,parasite.mp3,Parasite,"ANUQRAM, Eleanora",OUT 2,out,2,340.668,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/parasite.mp3
6,lately.mp3,Lately (Adam Ten & Mita Gami Remix),RUFUS DU SOL,START,start,,0.404,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/lately.mp3
6,lately.mp3,Lately (Adam Ten & Mita Gami Remix),RUFUS DU SOL,START,start,,0.404,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/lately.mp3
6,lately.mp3,Lately (Adam Ten & Mita Gami Remix),RUFUS DU SOL,IN 1,in,1,15.642,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/lately.mp3
6,lately.mp3,Lately (Adam Ten & Mita Gami Remix),RUFUS DU SOL,IN 2,in,2,30.88,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/lately.mp3
6,lately.mp3,Lately (Adam Ten & Mita Gami Remix),RUFUS DU SOL,CHORUS,chorus,,152.785,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/lately.mp3
6,lately.mp3,Lately (Adam Ten & Mita Gami Remix),RUFUS DU SOL,OUT 1,out,1,198.499,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/lately.mp3
7,comealive.mp3,Come Alive,"Grum, Sarah Appel",START,start,,0.325,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/comealive.mp3
7,comealive.mp3,Come Alive,"Grum, Sarah Appel",START,start,,0.325,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/comealive.mp3
7,comealive.mp3,Come Alive,"Grum, Sarah Appel",IN 1,in,1,31.293,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/comealive.mp3
7,comealive.mp3,Come Alive,"Grum, Sarah Appel",BREAK 1,break,1,93.228,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/comealive.mp3
