track_number,title,artists,mp3_name,key,bpm,onset-time,genre,key shift,energy
1,All Night Long,Chris Stussy,All Night Long [EFxMml7j6Vo].mp3,,,,minimal house,,5
2,Bi83,"DOVE, BICEP",DOVE ｜ CHROMA 003 Bi83 (Official Audio) [BPspizq3lGk].mp3,,,,breakbeat,,4
3,Everytime,"IDEMI, Lustral",Everytime (Original Mix) [Kis_X0EVQhA].mp3,,,,minimal house,,4
4,Yosemite (Philip George Remix),"Kettama, Interplanetary Criminal",Yosemite (Philip George Remix) [fb2emBDjv9s].mp3,,,,minimal house,,4
5,Falling Back,Obskür,Falling Back [i8l2A4IKwHc].mp3,,,,minimal house,,4
6,Tunnel Vision,"Belters Only, Jane",Tunnel Vision (feat. Jane) [Extended] [_ft6HXrUnuI].mp3,,,,minimal house,,5
7,Jump Higher,"Riordan, Danny P",Riordan x Danny P - Jump Higher (Official Audio) [AIHXK_Uo1S4].mp3,,,,minimal house,,5
8,let you drive,Jake Antonio,let you drive [qUpujnBbmn8].mp3,,,,minimal house,,5
9,Natura Umama,"LP Giobbi, Alex Kennon",LP Giobbi & Alex Kennon - Natura Umana [Official Visualizer] [zOYJYpwY7oE].mp3,,,,minimal house,,4
10,Never Enough,"Hot Since 82, Us Two, Paige Cavell",Never Enough [GX6gOrUrbyQ].mp3,,,,minimal house,,4
11,Our Love,Dusky,Our Love (Extended Mix) [pK7sBvNZgR0].mp3,,,,house,,5
12,The One (Obskür Remix),"Chloé Caillet, Luke Alessi, Jocelyn Brown",The One (Extended Mix) [SjEU767u9Vs].mp3,,,,minimal house,,5
13,D.A.N (Dance All Night),Ranger Trucco,Ranger Trucco - D.A.N (Dance All Night) [zO1lf8H5R88].mp3,,,,minimal house,,4
14,Just for the Night,"Shankz, javicanx",Just For the Night [NKXSkW1HJ8I].mp3,,,,minimal house,,4
15,Feel This Way,"Josh Baker, Silva Bumpa, Paige Cavell","Josh Baker, Silva Bumpa & Paige Cavell - Feel This Way [vsK1uUgrqjk].mp3",,,,minimal house,,4
16,Eyes Wide Open,Tomike,Eyes Wide Open [0980BC3wLOM].mp3,,,,minimal house,,4
17,Namerakana 2.0,"Omar+, Lemtom",Namerakana 2.0 (Extended) [sNQTW85aT68].mp3,,,,minimal house,,4
18,909,"Riordan, Danny P",Riordan & Danny P - 909 (Extended Mix) [jn2Z1p1vuoM].mp3,,,,minimal house,,5
19,The Message,Job De Jong,The Message [aqISbqIPryU].mp3,,,,,,3
20,Positive,Jamback,Jamback - Positive (Extended Mix) [CLR0021E] [FAke1dsCrA8].mp3,,,,,,3
21,IDK,Azzecca,Amnesia [j8aNcvJfbUc].mp3,,,,tech house,,4
22,You Are In My System (Philip George Remix),"Kerri Chandler, Dennis Quin",You Are In My System (Philip George Remix) [uGzSPKbRois].mp3,,,,house,,4
23,Lonely Days,"MANT, HAYLA",Lonely Days (feat. Hayla) (Extended Mix) [nrH6R6-BtiE].mp3,,,,house,,4
24,Hypnotic,Jazzy,Jazzy - Hypnotic (Official Visualiser) [KNcF6yq7OL8].mp3,,,,house,,5
25,I've Arrived,"Obskür, Tomike",I've Arrived (with Tomike) [FXGb3p8jxdE].mp3,,,,house,,5
26,On,"Jump Source, Patrick Holland, Priori, Martyn Bootyspoon",On [8ll3ZmpolH8].mp3,,,,tech house,,5
27,Greece 2000 (Max Styler Rework),Three Drives On A Vinyl,Greece 2000 (Max Styler Extended Rework) [QyL6Adb8yxM].mp3,,,,melodic techno,,6
28,Dance,ARTBAT,ARTBAT - Dance [bf8oQ1Um5Rc].mp3,,,,melodic techno,,7
29,"You're So High (10 Years On) (Sasha Remix)",Eli & Fur,Eli & Fur - You're So High (10 Years On) Sasha Remix [Official Audio] [iYz7w17cZEU].mp3,,,,trance,,6
30,It Gets Better (Forever Mix),Kettama,KETTAMA - It Gets Better (Forever Mix) [4wUv--haykg].mp3,,,,trance,,7
