track_number,title,artists,mp3_name,filepath,key,bpm,onset-time,genre,key shift,energy
1,Used To Love,Martin Garrix/Dean Lewis,Martin Garrix; Dean Lewis - Used To Love.mp3,Martin Garrix; Dean Lewis - Used To Love.mp3,,,,,,
2,Ocean (Don Diablo Remix),Martin Garrix/Don Diablo/Khalid,Martin Garrix; Don Diablo; Khalid - Ocean (Don Diablo Remix).mp3,Martin Garrix; Don Diablo; Khalid - Ocean (Don Diablo Remix).mp3,,,,,,
3,Empty,Martin Garrix/DubVision/Jaimes,Martin Garrix; DubVision; Jaimes - Empty.mp3,Martin Garrix; DubVision; Jaimes - Empty.mp3,,,,,,
4,Latency,Martin Garrix/Dyro,Martin Garrix; Dyro - Latency.mp3,Martin Garrix; Dyro - Latency.mp3,,,,,,
5,Love Runs Out,Martin Garrix/G-Eazy/Sasha Alex Sloan,Martin Garrix; G-Eazy; Sasha Alex Sloan - Love Runs Out.mp3,Martin Garrix; G-Eazy; Sasha Alex Sloan - Love Runs Out.mp3,,,,,,
6,Wizard (Original Mix),Martin Garrix/Jay Hardway,Martin Garrix; Jay Hardway - Wizard (Original Mix).mp3,Martin Garrix; Jay Hardway - Wizard (Original Mix).mp3,,,,,,
7,These Are The Times,Martin Garrix/JRM,Martin Garrix; JRM - These Are The Times.mp3,Martin Garrix; JRM - These Are The Times.mp3,,,,,,
8,These Are The Times (Dyro Remix),Martin Garrix/JRM/Dyro,Martin Garrix; JRM; Dyro - These Are The Times (Dyro Remix).mp3,Martin Garrix; JRM; Dyro - These Are The Times (Dyro Remix).mp3,,,,,,
9,Burn Out,Martin Garrix/Justin Mylo/Dewain Whitmore,Martin Garrix; Justin Mylo; Dewain Whitmore - Burn Out.mp3,Martin Garrix; Justin Mylo; Dewain Whitmore - Burn Out.mp3,,,,,,
10,Bouncybob,Martin Garrix/Justin Mylo/Mesto,Martin Garrix; Justin Mylo; Mesto - Bouncybob.mp3,Martin Garrix; Justin Mylo; Mesto - Bouncybob.mp3,,,,,,
11,Hero,Martin Garrix/JVKE,Martin Garrix; JVKE - Hero.mp3,Martin Garrix; JVKE - Hero.mp3,,,,,,
12,Ocean,Martin Garrix/Khalid,Martin Garrix; Khalid - Ocean.mp3,Martin Garrix; Khalid - Ocean.mp3,,,,,,
13,Game Over,Martin Garrix/LOOPERS,Martin Garrix; LOOPERS - Game Over.mp3,Martin Garrix; LOOPERS - Game Over.mp3,,,,,,
14,Summer Days,Martin Garrix/Macklemore/Patrick Stump,Martin Garrix; Macklemore; Patrick Stump - Summer Days.mp3,Martin Garrix; Macklemore; Patrick Stump - Summer Days.mp3,,,,,,
15,Summer Days (Vintage Culture & Bruno Be Remix),Martin Garrix/Macklemore/Patrick Stump/Vintage Culture/Bruno Be,Martin Garrix; Macklemore; Patrick Stump; Vintage Culture; Bruno Be - Summer Days (Vintage Culture & Bruno Be Remix).mp3,Martin Garrix; Macklemore; Patrick Stump; Vintage Culture; Bruno Be - Summer Days (Vintage Culture & Bruno Be Remix).mp3,,,,,,
16,Forever,Martin Garrix/Matisse & Sadko,Martin Garrix; Matisse & Sadko - Forever.mp3,Martin Garrix; Matisse & Sadko - Forever.mp3,,,,,,
17,Mistaken,Martin Garrix/Matisse & Sadko/Alex Aris,Martin Garrix; Matisse & Sadko; Alex Aris - Mistaken.mp3,Martin Garrix; Matisse & Sadko; Alex Aris - Mistaken.mp3,,,,,,
18,Together,Martin Garrix/Matisse & Sadko/Max McElligott,Martin Garrix; Matisse & Sadko; Max McElligott - Together.mp3,Martin Garrix; Matisse & Sadko; Max McElligott - Together.mp3,,,,,,
19,Limitless,Martin Garrix/Mesto,Martin Garrix; Mesto - Limitless.mp3,Martin Garrix; Mesto - Limitless.mp3,,,,,,
20,WIEE,Martin Garrix/Mesto,Martin Garrix; Mesto - WIEE.mp3,Martin Garrix; Mesto - WIEE.mp3,,,,,,
